n,x
0,0.0038
10,0.7212
20,2.9456
30,4.1266
40,8.7498
50,13.014
60,19.4222
70,20.5514
80,32.2212
90,37.7944
100,44.4646
110,56.7034
120,70.8248
130,73.6452
140,85.8478
150,91.359
160,111.7718
170,141.9812
180,147.921
190,177.0124
200,234.0108
210,256.7582
220,253.0168
230,269.0252
240,327.5524
250,320.9656
260,359.7612
270,390.1342
280,473.0322
290,482.5702
300,582.8676
310,439.6122
320,498.745
330,578.6158
340,656.1006
350,640.849
360,698.2728
370,817.5092
380,821.1854
390,904.9434
400,962.3792
410,950.382
420,895.7456
430,926.4186
440,940.4268
450,1064.2114
460,1172.9222
470,1103.4188
480,1289.3196
490,1268.9858
500,1419.6486
