n,x
0,0.001080
10,0.059720
20,0.038160
30,0.063720
40,0.105440
50,0.161560
60,0.310560
70,0.404240
80,0.448080
90,0.664600
100,0.712600
110,1.054600
120,1.254800
130,1.213040
140,1.199080
150,1.496600
160,1.440200
170,1.700280
180,1.713800
190,1.978520
200,2.371160
210,2.495120
220,2.785240
230,2.936680
240,3.123680
250,3.179000
260,4.388760
270,4.301000
280,4.397200
290,4.906040
300,5.306480
310,5.438760
320,5.851360
330,5.804360
340,6.384640
350,7.450000
360,7.448680
370,7.369520
380,7.933800
390,8.412480
400,9.511640
410,9.160560
420,10.476400
430,10.675360
440,11.132960
450,12.232520
460,12.546000
470,13.219800
480,14.344840
490,14.366440
500,13.971800
510,15.027827
520,15.848547
530,16.652613
540,16.229067
550,15.961720
560,16.752600
570,17.472440
580,17.719147
590,18.659507
600,19.426320
610,20.022480
620,20.873360
630,21.667213
640,21.797280
650,22.316733
660,23.705667
670,23.955853
680,25.179400
690,25.116067
700,26.996027
710,27.858120
720,28.177200
730,29.036613
740,29.575680
750,29.930800
