n,x
0,0.002440
10000,0.741660
20000,1.194200
30000,1.424180
40000,2.161180
50000,2.520520
60000,2.882240
70000,3.347160
80000,3.909860
90000,4.621460
100000,4.783860
110000,5.811740
120000,6.265700
130000,6.650780
140000,7.154760
150000,7.535500
160000,8.747480
170000,8.507500
180000,9.261680
190000,9.450900
200000,9.578360
210000,10.240160
220000,10.523980
230000,11.059660
240000,11.961760
250000,13.005180
260000,12.802660
270000,14.950680
280000,14.349320
290000,14.133400
300000,14.399860
310000,15.406540
320000,16.767360
330000,16.192120
340000,16.445180
350000,16.618000
360000,17.720580
370000,17.438220
380000,17.989700
390000,19.196200
400000,19.624220
410000,20.364300
420000,20.954920
430000,20.432960
440000,20.764640
450000,21.259920
460000,21.941600
470000,22.596120
480000,23.835220
490000,23.672000
500000,24.710040
