n,x
0,0.01990564
100,0.40798003999999999
200,0.51071783999999998
300,0.77459940000000005
400,1.38873532000000011
500,2.49270915999999998
600,3.2491160800000003
700,3.49289924000000029
800,4.13734615999999988
900,5.23830416000000021
1000,7.70790384000000017
1100,8.41337788000000053
1200,9.93595303999999935
1300,11.47663159999999927
1400,13.22267899999999941
1500,14.38521751999999942
1600,16.33136103999999733
1700,19.23582607999999894
1800,20.47390160000000137
1900,24.4827861200000001
2000,24.52401267999999845
2100,27.66848912000000027
2200,30.2508023200000018
2300,32.2045811999999998
2400,36.64060659999999814
2500,40.12328232000000128
2600,44.01496144000000044
2700,47.17744971999999848
2800,49.43659335999999627
2900,52.01706124000000386
3000,55.62452123999999998
3100,58.13483828000000386
3200,60.95885103999999899
3300,68.30822979999999234
3400,69.39598671999999624
3500,76.80967327999999839
3600,81.02360531999998727
3700,85.28156764000000578
3800,89.10876559999999813
3900,88.52573028000000477
4000,93.10182971999999779
4100,97.22201628000000539
4200,102.95545620000000042
4300,108.51007695999999214
4400,114.67701304000000562
4500,116.37960376000000906
4600,126.54465344000000471
4700,130.64033240000000546
4800,133.49883495999998217
4900,140.16098687999999584
5000,146.34741524000000368
