n,x
0,0.06526344000000001
100,0.9112328666666667
200,1.47578703999999994
300,1.79913474666666651
400,2.49251577333333341
500,3.27585030666666643
600,4.35927322666666672
700,5.26871846666666688
800,6.591376453333333
900,7.80395482666666673
1000,8.85824321333333309
1100,10.42376140000000007
1200,12.50368955999999976
1300,13.72806410666666821
1400,16.00586017333333544
1500,17.63934105333333591
1600,19.54602339999999927
1700,21.57847036000000074
1800,23.50375857333333585
1900,25.81044173333333447
2000,28.59811770666666675
2100,30.77344381333333345
2200,33.83519429333333761
2300,36.41962973333333764
2400,39.96262865333333281
2500,42.96929563999999857
2600,46.12530682666666593
2700,49.71436881333332991
2800,53.67114956000000348
2900,55.88710833333333738
3000,61.25894550666667016
3100,66.02828386666666916
3200,70.53178633333332925
3300,74.69323121333333404
3400,80.35038516000000186
3500,83.56918020000000524
3600,89.18375011999999913
3700,94.03405313333334448
3800,97.67743034666666802
3900,102.90226336000000629
4000,110.06368595999998661
4100,112.39559573333333731
4200,117.99666733333333468
4300,122.48767840000000717
4400,128.45971618666666814
4500,134.50591095999999425
4600,139.1759900933333256
4700,146.45768922666667322
4800,152.03995013333332054
4900,156.70495090666665305
5000,166.28657017333335943
