n,x
0,0.075012
10,0.60316631999999992
20,0.70892771999999993
30,0.69725607999999994
40,1.27039339999999989
50,2.1660450400000002
60,2.55971375999999973
70,3.43690568000000019
80,4.19358427999999961
90,4.52091675999999953
100,6.00522063999999922
110,7.95978563999999977
120,10.24979559999999879
130,13.83313852000000033
140,16.71466252000000097
150,20.25289012
160,23.06708096000000197
170,28.13085016000000138
180,30.26936307999999798
190,35.70217952000000139
200,43.03401043999999587
210,45.99118495999999823
220,54.88901856000000379
230,62.87075724000000321
240,69.2715718000000038
250,79.65834528000000603
260,91.54107455999999843
270,94.93026308000000313
280,107.46836444000000199
290,121.31090535999999247
300,129.82603707999999187
310,150.21048208000001978
320,168.40205760000000623
330,178.37127824000000942
340,195.33282663999997908
350,211.88070200000001364
360,235.92643667999999479
370,243.01614931999998248
380,265.16842752000002292
390,285.93154911999999968
400,311.54343427999998539
410,340.53487727999998924
420,379.4247303600000123
430,417.716733999999974
440,463.13669780000003584
450,511.97884851999998546
460,509.66626939999997603
470,557.33068463999995856
480,580.6822642800000267
490,634.10942332000001898
500,660.60882167999989178
