n,x
0,0.001960
100,0.174680
200,0.094870
300,0.109040
400,0.148890
500,0.218650
600,0.199990
700,0.233010
800,0.270100
900,0.340010
1000,0.360700
1100,0.428160
1200,0.394180
1300,0.452660
1400,0.504140
1500,0.471890
1600,0.588000
1700,0.619690
1800,0.611450
1900,0.633350
2000,0.749610
2100,0.725110
2200,0.724880
2300,0.781770
2400,0.885500
2500,0.928020
2600,0.896190
2700,0.892510
2800,0.911170
2900,1.020920
3000,1.031190
3100,1.143490
3200,1.141460
3300,1.166800
3400,1.256130
3500,1.232270
3600,1.263040
3700,1.282810
3800,1.518840
3900,1.404440
4000,1.485620
4100,1.574240
4200,1.474740
4300,1.646690
4400,1.825330
4500,1.788110
4600,1.784440
4700,1.786710
4800,2.078540
4900,2.134230
5000,2.204070
