n,x
0,0.002220
1000,1.329060
2000,0.675450
3000,1.161440
4000,1.686380
5000,2.045290
6000,2.550350
7000,3.176610
8000,4.302310
9000,4.501590
10000,4.528580
11000,4.971850
12000,5.460700
13000,6.556420
14000,6.612450
15000,7.143050
16000,8.324040
17000,8.455380
18000,8.949490
19000,9.406860
20000,9.922450
21000,11.514110
22000,12.745860
23000,13.744680
24000,13.373870
25000,14.203090
26000,18.398080
27000,19.341920
28000,17.961610
29000,17.795850
30000,19.735240
31000,20.646360
32000,22.907770
33000,23.863250
34000,27.297960
35000,25.476060
36000,29.068150
37000,30.450070
38000,24.748770
39000,23.493230
40000,24.007930
41000,28.184480
42000,27.794530
43000,27.256540
44000,33.498510
45000,34.218900
46000,33.996850
47000,32.034380
48000,30.460040
49000,33.120690
50000,34.806520
