n,x
0,0.001960
10,0.009400
20,0.038760
30,0.047680
40,0.043960
50,0.081200
60,0.141680
70,0.239760
80,0.393080
90,0.669440
100,0.620160
110,0.914840
120,1.078880
130,1.215400
140,1.688560
150,2.459280
160,2.580560
170,2.596400
180,3.448040
190,4.477760
200,5.052440
210,5.497320
220,5.777240
230,6.601400
240,8.483560
250,9.037000
260,9.511880
270,11.868240
280,13.220520
290,13.842640
300,15.617080
310,16.520000
320,17.909520
330,19.467840
340,21.142160
350,22.629520
360,25.016920
370,26.058400
380,29.434440
390,32.587800
400,34.602920
410,37.311640
420,40.467080
430,42.822080
440,47.850920
450,50.387680
460,54.035240
470,56.803320
480,61.326640
490,64.539960
500,69.539440
510,75.417640
520,78.446560
530,81.849440
540,86.436160
550,105.366520
560,117.841840
570,119.368000
580,134.603520
590,131.528240
600,147.013080
610,146.328057
620,154.110571
630,163.959171
640,168.462314
650,173.134171
660,181.796343
670,180.194800
680,191.216114
690,200.062943
700,217.099800
710,226.299200
720,232.664920
730,265.303660
740,239.020200
750,267.930340
