n,x
0,0.002340
10000,1.193060
20000,2.013100
30000,2.715060
40000,3.777540
50000,4.829180
60000,5.699640
70000,7.199600
80000,8.172980
90000,8.773140
100000,10.227280
110000,10.263380
120000,11.198020
130000,12.084180
140000,13.223480
150000,13.937020
160000,14.968780
170000,16.014320
180000,17.023860
190000,17.634200
200000,18.179120
210000,19.414220
220000,20.196740
230000,21.531280
240000,22.365880
250000,23.013740
260000,24.661100
270000,25.180660
280000,26.300900
290000,26.729960
300000,28.788560
310000,29.487120
320000,30.330840
330000,32.361900
340000,31.812040
350000,32.877540
360000,33.370800
370000,34.443300
380000,35.314040
390000,36.442160
400000,37.054820
410000,38.276940
420000,39.138760
430000,39.367760
440000,40.702320
450000,41.182000
460000,42.275160
470000,42.761680
480000,43.481520
490000,45.566820
500000,45.618300
