n,x
0,0.001080
1000,0.032230
2000,0.048440
3000,0.090210
4000,0.110070
5000,0.226620
6000,0.250240
7000,0.242820
8000,0.262470
9000,0.367950
10000,0.563580
11000,0.508890
12000,0.538460
13000,0.656880
14000,0.643260
15000,0.761130
16000,0.893820
17000,1.083860
18000,1.083890
19000,1.161310
20000,1.326740
21000,1.443740
22000,1.600680
23000,1.562430
24000,1.666310
25000,1.773410
26000,2.184500
27000,2.169420
28000,2.482420
29000,2.606120
30000,2.754740
31000,2.982670
32000,3.211520
33000,3.976450
34000,3.904370
35000,3.822900
36000,3.902430
37000,3.851400
38000,4.070030
39000,4.490100
40000,4.473780
41000,4.679600
42000,4.556170
43000,4.745060
44000,4.978280
45000,5.152860
46000,5.242970
47000,5.077900
48000,5.607570
49000,5.566970
50000,6.488910
