n,x
0,0.001520
10,0.005200
20,0.030560
30,0.033320
40,0.047600
50,0.084760
60,0.123240
70,0.213560
80,0.286840
90,0.402400
100,0.650440
110,0.923240
120,0.998360
130,1.301400
140,1.572520
150,1.999760
160,2.475000
170,2.970720
180,3.396840
190,4.066600
200,5.304800
210,5.460320
220,6.497720
230,7.092800
240,8.400520
250,9.452800
260,9.092160
270,10.829640
280,13.256840
290,14.718000
300,15.718960
310,15.504720
320,17.520040
330,19.461520
340,20.845960
350,22.543480
360,24.163520
370,28.271960
380,32.721480
390,34.476800
400,38.667560
410,42.417000
420,43.648440
430,48.072360
440,52.982440
450,54.735640
460,60.674040
470,62.344360
480,64.309560
490,66.746040
500,66.588880
510,72.552400
520,78.563900
530,79.484500
540,83.430300
550,89.152700
560,96.681500
570,100.544300
580,106.133600
590,110.617500
600,114.388000
610,121.512900
620,126.725300
630,134.065900
640,142.471700
650,150.606500
660,154.959600
670,163.670400
680,168.777100
690,176.461200
700,186.580800
710,194.734000
720,201.890400
730,209.194400
740,216.049200
750,224.314200
