n,x
0,0.06717436
100,0.04903428
200,0.0770012
300,0.10873172
400,0.16924164
500,0.2563309
600,0.4436676
700,0.856469
800,0.90968335
900,1.0466323
1000,1.2374785
1100,1.5469606
1200,2.2312028
1300,2.6831858
1400,2.6127713
1500,4.5050473
1600,4.4321737
1700,5.4817376
1800,4.208568
1900,4.839415
2000,5.271288
2100,5.5576005
2200,5.603666
2300,7.270584
2400,7.692749
2500,8.694031
2600,9.293158
2700,10.3606205
2800,10.583282
2900,11.180458
3000,12.259279
3100,13.343419
3200,14.031844
3300,14.545787
3400,16.170303
3500,16.821342
3600,18.29006
3700,19.076103
3800,19.704805
3900,20.960268
4000,22.127415
4100,22.938883
4200,24.883596
4300,25.829638
4400,27.181732
4500,28.47645
4600,30.664455
4700,30.398163
4800,33.343838
4900,34.186962
5000,36.70576
