n,x
0,0.32473513
100,0.6567272
200,0.84501725
300,1.7157059
400,2.1704953
500,3.515697
600,6.4583735
700,4.3310623
800,3.106213
900,3.2599924
1000,4.6585345
1100,5.1664248
1200,6.5401907
1300,6.6116405
1400,8.771308
1500,9.018877
1600,11.118923
1700,12.04895
1800,14.792217
1900,15.5165615
2000,16.961294
2100,19.558855
2200,22.201534
2300,22.445118
2400,23.684332
2500,26.1488
2600,28.32106
2700,34.520493
2800,33.859657
2900,35.240944
3000,42.08215
3100,43.934864
3200,46.105835
3300,60.219772
3400,57.468636
3500,60.17068
3600,62.3245
3700,68.78377
3800,68.23186
3900,69.74212
4000,77.15962
4100,75.29634
4200,82.05917
4300,90.50759
4400,96.115715
4500,96.652985
4600,103.94376
4700,109.238525
4800,117.09072
4900,120.034744
5000,123.89853
