n,x
0,74
1000,122
2000,130
3000,144
4000,144
5000,152
6000,156
7000,166
8000,170
9000,166
10000,174
11000,176
12000,177
13000,188
14000,203
15000,195
16000,200
17000,200
18000,214
19000,204
20000,215
21000,214
22000,229
23000,218
24000,225
25000,233
26000,236
27000,235
28000,241
29000,240
30000,251
31000,250
32000,250
33000,258
34000,278
35000,266
36000,263
37000,263
38000,265
39000,260
40000,276
41000,270
42000,290
43000,278
44000,276
45000,268
46000,300
47000,296
48000,292
49000,295
50000,296
