n,x
0,0.05770694
10,0.14705692
20,0.34154168
30,0.3702391
40,0.20429488
50,0.37850752
60,0.40378413
70,0.6856647
80,0.7406608
90,2.0086212
100,1.265297
110,1.8670851
120,2.203699
130,2.562363
140,4.0823374
150,3.784599
160,4.7228546
170,5.283806
180,5.9470925
190,7.359533
200,8.030213
210,9.020521
220,11.703658
230,12.620321
240,14.8305855
250,14.655889
260,16.663399
270,18.6633
280,19.900026
290,22.150507
300,27.640213
310,28.930632
320,31.53905
330,33.03805
340,36.777115
350,38.834167
360,43.53215
370,47.085815
380,53.011845
390,53.74904
400,56.86473
410,64.15484
420,65.105545
430,68.68216
440,73.3761
450,78.22393
460,84.97181
470,87.47823
480,94.19761
490,97.94607
500,108.87766
510,114.76086
520,117.07189
530,124.50204
540,131.36449
550,139.00833
560,148.98091
570,154.30814
580,168.66664
590,174.25957
600,176.79547
610,190.67474
620,196.10536
630,204.07103
640,220.72896
650,218.5259
660,238.96072
670,245.21205
680,258.183
690,270.39905
700,278.5319
710,285.75803
720,303.68558
730,320.74673
740,332.7599
750,343.7452
