n,x
0,77
10000,118
20000,147
30000,147
40000,158
50000,166
60000,170
70000,173
80000,191
90000,194
100000,202
110000,211
120000,214
130000,209
140000,228
150000,219
160000,225
170000,235
180000,250
190000,258
200000,275
210000,261
220000,261
230000,301
240000,323
250000,299
260000,307
270000,339
280000,368
290000,465
300000,375
310000,377
320000,379
330000,378
340000,389
350000,387
360000,387
370000,389
380000,389
390000,392
400000,587
410000,467
420000,450
430000,488
440000,522
450000,542
460000,741
470000,541
480000,553
490000,551
500000,585
