n,x
0,0.14913988
10000,4.8796334
20000,5.130489
30000,6.908198
40000,10.3109865
50000,10.578242
60000,16.334387
70000,16.092102
80000,16.120472
90000,18.493763
100000,22.71726
110000,27.851295
120000,25.003675
130000,30.197721
140000,30.675707
150000,32.364338
160000,35.488438
170000,35.17993
180000,39.873016
190000,39.06526
200000,43.895023
210000,43.407795
220000,48.56502
230000,47.89943
240000,50.422688
250000,55.69477
260000,54.64937
270000,57.877453
280000,57.434364
290000,62.078407
300000,64.88821
310000,73.24265
320000,73.72591
330000,68.00845
340000,67.50536
350000,72.63645
360000,74.909676
370000,78.01283
380000,79.094444
390000,82.33265
400000,80.61957
410000,81.318985
420000,86.06696
430000,85.23543
440000,89.313965
450000,88.69314
460000,93.591576
470000,99.43216
480000,96.50952
490000,97.473595
500000,101.01683
